pair;model;train_accuracy;test_accuracy;time;timestamp;architecture;solver;iterations;converged
7-3;svc_73;100%;98.1%;3132;03/12/2024 08.46;;;;
7-3;nn_73_10;100%;98.0%;2449;03/12/2024 08.46;();lbfgs;5000;Yes
7-3;nn_73_10;100%;98.8%;3669;03/12/2024 08.47;(10,);lbfgs;5000;Yes
7-3;nn_73_10;100%;99.4%;2958;03/12/2024 08.48;20;lbfgs;5000;Yes
7-3;nn_73_10;100%;99.1%;16545;03/12/2024 08.50;(15, 15, 15);lbfgs;5000;Yes
4-5;svc_45;100%;98.5%;1401;03/12/2024 08.51;;;;
4-5;nn_73_10;100%;98.7%;1812;03/12/2024 08.51;();lbfgs;5000;Yes
4-5;nn_73_10;100%;99.6%;11453;03/12/2024 08.53;(10,);lbfgs;5000;Yes
4-5;nn_73_10;100%;99.6%;2405;03/12/2024 08.53;20;lbfgs;5000;Yes
4-5;nn_73_10;100%;99.5%;7305;03/12/2024 08.55;(15, 15, 15);lbfgs;5000;Yes
0-1;svc_01;100%;99.7%;367;03/12/2024 08.55;;;;
0-1;nn_73_10;100%;99.7%;244;03/12/2024 08.55;();lbfgs;5000;Yes
0-1;nn_73_10;100%;99.8%;917;03/12/2024 08.55;(10,);lbfgs;5000;Yes
0-1;nn_73_10;100%;99.8%;1393;03/12/2024 08.55;20;lbfgs;5000;Yes
0-1;nn_73_10;100%;99.7%;151;03/12/2024 08.56;(15, 15, 15);lbfgs;5000;Yes
7-3;svc_73;100%;98.12%;1509;03/12/2024 09.39;;;;
7-3;nn_73_10;100%;98.03%;2301;03/12/2024 09.40;();lbfgs;10000;Yes
7-3;nn_73_10;100%;98.84%;3425;03/12/2024 09.40;(10,);lbfgs;10000;Yes
7-3;nn_73_10;100%;99.39%;309;03/12/2024 09.41;20;lbfgs;10000;Yes
7-3;nn_73_10;100%;99.14%;11516;03/12/2024 09.43;(15, 15, 15);lbfgs;10000;Yes
4-5;svc_45;100%;98.48%;1256;03/12/2024 09.43;;;;
4-5;nn_73_10;100%;98.66%;4145;03/12/2024 09.44;();lbfgs;10000;Yes
4-5;nn_73_10;100%;99.60%;17578;03/12/2024 09.47;(10,);lbfgs;10000;Yes
4-5;nn_73_10;100%;99.60%;1873;03/12/2024 09.47;20;lbfgs;10000;Yes
4-5;nn_73_10;100%;99.48%;7925;03/12/2024 09.48;(15, 15, 15);lbfgs;10000;Yes
0-1;svc_01;100%;99.73%;278;03/12/2024 09.49;;;;
0-1;nn_73_10;100%;99.73%;213;03/12/2024 09.49;();lbfgs;10000;Yes
0-1;nn_73_10;100%;99.81%;1476;03/12/2024 09.49;(10,);lbfgs;10000;Yes
0-1;nn_73_10;100%;99.84%;1171;03/12/2024 09.49;20;lbfgs;10000;Yes
0-1;nn_73_10;100%;99.68%;1765;03/12/2024 09.49;(15, 15, 15);lbfgs;10000;Yes
7-3;svc_73;100.00%;98.12%;14268;03/12/2024 09.57;;;;
7-3;nn_73_10;100.00%;98.03%;44753;03/12/2024 09.57;();lbfgs;50000;Yes
7-3;nn_73_10;99.91%;98.84%;84711;03/12/2024 09.59;(10,);lbfgs;50000;Yes
7-3;nn_73_10;99.99%;99.39%;53628;03/12/2024 10.00;20;lbfgs;50000;Yes
7-3;nn_73_10;99.99%;99.14%;155719;03/12/2024 10.02;(15, 15, 15);lbfgs;50000;Yes
4-5;svc_45;100.00%;98.48%;10149;03/12/2024 10.02;;;;
4-5;nn_73_10;100.00%;98.66%;21874;03/12/2024 10.03;();lbfgs;50000;Yes
4-5;nn_73_10;99.83%;99.60%;124191;03/12/2024 10.05;(10,);lbfgs;50000;Yes
4-5;nn_73_10;100.00%;99.60%;36909;03/12/2024 10.06;20;lbfgs;50000;Yes
4-5;nn_73_10;100.00%;99.48%;123041;03/12/2024 10.08;(15, 15, 15);lbfgs;50000;Yes
0-1;svc_01;100.00%;99.73%;3038;03/12/2024 10.08;;;;
0-1;nn_73_10;100.00%;99.73%;472;03/12/2024 10.08;();lbfgs;50000;Yes
0-1;nn_73_10;100.00%;99.81%;17458;03/12/2024 10.08;(10,);lbfgs;50000;Yes
0-1;nn_73_10;100.00%;99.84%;17722;03/12/2024 10.08;20;lbfgs;50000;Yes
0-1;nn_73_10;100.00%;99.68%;34511;03/12/2024 10.09;(15, 15, 15);lbfgs;50000;Yes
7-3;svc_73;100,00%;98,12%;2,309E+14;06/12/2024 10.42;;;;
7-3;;100,00%;98,03%;1,252E+15;06/12/2024 10.42;();lbfgs;50000;Yes
7-3;;99,90%;99,03%;1,87746E+16;06/12/2024 10.42;(10,);lbfgs;50000;Yes
7-3;;99,99%;99,39%;2,00781E+15;06/12/2024 10.42;20;lbfgs;50000;Yes
7-3;;99,99%;99,11%;5,30565E+15;06/12/2024 10.42;(15, 15, 15);lbfgs;50000;Yes
4-5;svc_45;100,00%;98,48%;1,97028E+15;06/12/2024 10.42;;;;
4-5;;100,00%;98,63%;1,07598E+16;06/12/2024 10.42;();lbfgs;50000;Yes
4-5;;99,44%;99,60%;3,87E+15;06/12/2024 10.42;(10,);lbfgs;50000;Yes
4-5;;100,00%;99,60%;2,28338E+15;06/12/2024 10.42;20;lbfgs;50000;Yes
4-5;;99,97%;99,42%;7,48078E+15;06/12/2024 10.43;(15, 15, 15);lbfgs;50000;Yes
0-1;svc_01;100,00%;99,73%;5,09449E+14;06/12/2024 10.43;;;;
0-1;;100,00%;99,73%;1,87513E+15;06/12/2024 10.43;();lbfgs;50000;Yes
0-1;;100,00%;99,81%;5,78423E+15;06/12/2024 10.43;(10,);lbfgs;50000;Yes
0-1;;100,00%;99,84%;8,40884E+14;06/12/2024 10.43;20;lbfgs;50000;Yes
0-1;;100,00%;99,68%;1,24963E+16;06/12/2024 10.43;(15, 15, 15);lbfgs;50000;Yes
7-3;svc_73;100,00%;98,12%;2,51292E+16;09/12/2024 16.08;;;;
7-3;;100,00%;98,03%;1,30375E+16;09/12/2024 16.08;();lbfgs;50000;Yes
7-3;;99,99%;99,39%;1,16405E+16;09/12/2024 16.08;20;lbfgs;50000;Yes
7-3;;99,84%;98,53%;3,9755E+16;09/12/2024 16.08;(5, 5, 5);lbfgs;50000;Yes
4-5;svc_45;100,00%;98,48%;1,88339E+16;09/12/2024 16.09;;;;
4-5;;100,00%;98,63%;1,39213E+16;09/12/2024 16.09;();lbfgs;50000;Yes
4-5;;100,00%;99,60%;3,0972E+16;09/12/2024 16.09;20;lbfgs;50000;Yes
4-5;;99,96%;99,48%;3,28279E+15;09/12/2024 16.09;(5, 5, 5);lbfgs;50000;Yes
0-1;svc_01;100,00%;99,73%;5,46477E+15;09/12/2024 16.09;;;;
0-1;;100,00%;99,73%;1,99956E+16;09/12/2024 16.09;();lbfgs;50000;Yes
0-1;;100,00%;99,84%;1,86164E+16;09/12/2024 16.09;20;lbfgs;50000;Yes
0-1;;100,00%;99,84%;3,98205E+16;09/12/2024 16.09;(5, 5, 5);lbfgs;50000;Yes
